addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
강원도 화천군 상서면 감성마을길 157,,32,0,A02,A0202,A02020600,2569515,12,20181125015331,http://tong.visitkorea.or.kr/cms/resource/93/2566293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2566293_image3_1.jpg,127.5162822381,38.1665774939,6,20220329143427,57,17,,감성마을 이외수 문학관,24104
강원도 화천군 간동면 방천리,,32,0,A01,A0101,A01010400,2569514,12,20181125015259,http://tong.visitkorea.or.kr/cms/resource/45/2566345_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2566345_image3_1.jpg,127.8167297626,38.0747077206,6,20220421163211,52,17,,병풍산,24135
강원도 화천군 사내면 천문대길 431,,32,0,A02,A0202,A02020600,2569512,12,20181125014151,http://tong.visitkorea.or.kr/cms/resource/86/2567686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2567686_image3_1.jpg,127.4338245462,38.1185871239,6,20220729112732,70,17,,화천조경철천문대,24150
강원도 화천군 하남면 용암리 1121번지,,32,0,A02,A0201,A02010700,2569465,12,20181124035451,,,127.6993760163,38.0935894289,6,20221124174449,21,17,,용암리선사유적,24140
강원도 화천군 하남면 춘화로 3331-50,,32,0,A02,A0205,A02050600,2569365,12,20181124002543,http://tong.visitkorea.or.kr/cms/resource/41/2566441_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2566441_image3_1.jpg,127.6996009099,38.0964557659,6,20221110174910,51,17,,피니시타워,24140
강원 화천군 상서면 다목리 산1-1,,32,0,A02,A0201,A02011000,2569361,12,20181124001307,http://tong.visitkorea.or.kr/cms/resource/23/2566323_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2566323_image3_1.jpg,127.5405935748,38.1775155575,6,20220830090738,14,17,,대성산지구 전적비,24104
강원도 화천군 사내면 용담리,,32,0,A01,A0101,A01010500,2569346,12,20181124000459,http://tong.visitkorea.or.kr/cms/resource/01/2566301_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2566301_image3_1.jpg,127.5387168938,38.0532605818,6,20221208162353,21,17,,곡운구곡 (강원평화지역 국가지질공원),24161
강원도 화천군 화천읍 평화로 705-6,,32,0,A02,A0201,A02011000,2568711,12,20181122024839,http://tong.visitkorea.or.kr/cms/resource/86/2566286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2566286_image3_1.jpg,127.7612754879,38.1079944648,6,20220526111030,43,17,,643고지전투전적비,24132
강원도 화천군 간동면 파로호로 923-15,,32,0,A02,A0203,A02030100,2568705,12,20181122024303,http://tong.visitkorea.or.kr/cms/resource/21/2566421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2566421_image3_1.jpg,127.7902938511,38.0558621983,6,20220520085806,44,17,,유촌리 파로호 느릅마을,24138
강원도 화천군 화천읍 신읍리,,32,0,A02,A0203,A02030600,2568703,12,20181122024034,http://tong.visitkorea.or.kr/cms/resource/91/2566391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2566391_image3_1.jpg,127.6991886975,38.1344235513,6,20220908174936,41,17,,신읍리 동지화 마을,24113
